Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Kobe Bryant,LAL,06_07,31.6,5.7,5.4,0.512,1
Carmelo Anthony,DEN,06_07,28.9,6.0,3.8,0.549,1
Gilbert Arenas,WAS,06_07,28.4,4.6,6.0,0.5,1
Dwyane Wade,MIA,06_07,27.4,4.7,7.5,0.537,1
LeBron James,CLE,06_07,27.3,6.7,6.0,0.61,1
Michael Redd,MIL,06_07,26.7,3.7,2.3,0.341,0
Ray Allen,SEA,06_07,26.4,4.5,4.1,0.378,0
Allen Iverson,DENPHI,06_07,26.3,3.0,7.2,,0
Vince Carter,NJN,06_07,25.2,6.0,4.8,0.5,0
Yao Ming,HOU,06_07,25.0,9.4,2.0,0.634,0
Joe Johnson,ATL,06_07,25.0,4.2,4.4,0.366,0
Paul Pierce,BOS,06_07,25.0,5.9,4.1,0.293,0
Tracy McGrady,HOU,06_07,24.6,5.3,6.5,0.634,1
Dirk Nowitzki,DAL,06_07,24.6,8.9,3.4,0.817,1
Zach Randolph,POR,06_07,23.6,10.1,2.2,0.39,0
Chris Bosh,TOR,06_07,22.6,10.7,2.5,0.573,1
Kevin Garnett,MIN,06_07,22.4,12.8,4.1,0.39,1
Rashard Lewis,SEA,06_07,22.4,6.6,2.4,0.378,0
Ben Gordon,CHI,06_07,21.4,3.1,3.6,0.598,0
Carlos Boozer,UTA,06_07,20.9,11.7,3.0,0.622,1
Pau Gasol,MEM,06_07,20.8,9.8,3.4,0.268,0
Elton Brand,LAC,06_07,20.5,9.3,2.9,0.488,0
Amar'e Stoudemire,PHO,06_07,20.4,9.6,1.0,0.744,1
Kevin Martin,SAC,06_07,20.2,4.3,2.2,0.402,0
Baron Davis,GSW,06_07,20.1,4.4,8.1,0.512,1
Tim Duncan,SAS,06_07,20.0,10.6,3.4,0.707,1
Antawn Jamison,WAS,06_07,19.8,8.0,1.9,0.5,0
Richard Hamilton,DET,06_07,19.8,3.8,3.8,0.646,0
Eddy Curry,NYK,06_07,19.5,7.0,0.8,0.402,0
Jermaine O'Neal,IND,06_07,19.4,9.6,2.4,0.427,0
Caron Butler,WAS,06_07,19.1,7.4,3.7,0.5,0
Josh Howard,DAL,06_07,18.9,6.8,1.8,0.817,0
Metta World Peace,SAC,06_07,18.8,6.5,3.4,0.402,0
Luol Deng,CHI,06_07,18.8,7.1,2.5,0.598,0
Steve Nash,PHO,06_07,18.6,3.5,11.6,0.744,1
Tony Parker,SAS,06_07,18.6,3.2,5.5,0.707,1
Mike Miller,MEM,06_07,18.5,5.4,4.3,0.268,0
David West,NOK,06_07,18.3,8.2,2.2,0.476,0
Andre Iguodala,PHI,06_07,18.2,5.7,5.7,0.427,0
Gerald Wallace,CHA,06_07,18.1,7.2,2.6,0.402,0
Leandro Barbosa,PHO,06_07,18.1,2.7,4.0,0.744,0
Peja Stojaković,NOK,06_07,17.8,4.2,0.8,0.476,0
Jamal Crawford,NYK,06_07,17.6,3.2,4.4,0.402,0
Dwight Howard,ORL,06_07,17.6,12.3,1.9,0.488,0
Mehmet Okur,UTA,06_07,17.6,7.2,2.0,0.622,0
Shawn Marion,PHO,06_07,17.5,9.8,1.7,0.744,0
Mo Williams,MIL,06_07,17.3,4.8,6.1,0.341,0
Shaquille O'Neal,MIA,06_07,17.3,7.4,2.0,0.537,1
Chris Paul,NOK,06_07,17.3,4.4,8.9,0.476,0
Mike Bibby,SAC,06_07,17.1,3.2,4.7,0.402,0
Chauncey Billups,DET,06_07,17.0,3.4,7.2,0.646,1
Ricky Davis,MIN,06_07,17.0,3.9,4.8,0.39,0
Corey Maggette,LAC,06_07,16.9,5.9,2.8,0.488,0
Brandon Roy,POR,06_07,16.8,4.4,4.0,0.39,0
Jason Terry,DAL,06_07,16.7,2.9,5.2,0.817,0
Kirk Hinrich,CHI,06_07,16.6,3.4,6.2,0.598,0
Manu Ginóbili,SAS,06_07,16.5,4.4,3.5,0.707,0
Monta Ellis,GSW,06_07,16.5,3.2,4.1,0.512,0
Al Harrington,GSWIND,06_07,16.5,6.4,1.9,,0
Nenad Krstić,NJN,06_07,16.4,6.8,1.8,0.5,0
Josh Smith,ATL,06_07,16.4,8.6,3.3,0.366,0
Stephon Marbury,NYK,06_07,16.4,2.9,5.4,0.402,0
Richard Jefferson,NJN,06_07,16.3,4.4,2.7,0.5,0
Deron Williams,UTA,06_07,16.2,3.3,9.3,0.622,0
Al Jefferson,BOS,06_07,16.0,11.0,1.3,0.293,0
Jason Richardson,GSW,06_07,16.0,5.1,3.4,0.512,0
Lamar Odom,LAL,06_07,15.9,9.8,4.8,0.512,0
Stephen Jackson,GSWIND,06_07,15.5,3.0,3.8,,0
Wally Szczerbiak,BOS,06_07,15.0,3.1,1.7,0.293,0
Larry Hughes,CLE,06_07,14.9,3.8,3.7,0.61,0
Ruben Patterson,MIL,06_07,14.7,5.4,2.9,0.341,0
Raja Bell,PHO,06_07,14.7,3.2,2.5,0.744,0
Earl Boykins,DENMIL,06_07,14.6,2.1,4.4,,0
Kyle Korver,PHI,06_07,14.4,3.5,1.4,0.427,0
Emeka Okafor,CHA,06_07,14.4,11.3,1.2,0.402,0
Grant Hill,ORL,06_07,14.4,3.6,2.1,0.488,0
Tayshaun Prince,DET,06_07,14.3,5.2,2.8,0.646,0
Andrés Nocioni,CHI,06_07,14.1,5.7,1.1,0.598,0
Raymond Felton,CHA,06_07,14.0,3.4,7.0,0.402,0
T.J. Ford,TOR,06_07,14.0,3.1,7.9,0.573,0
Danny Granger,IND,06_07,13.9,4.6,1.4,0.427,0
Cuttino Mobley,LAC,06_07,13.8,3.4,2.5,0.488,0
Desmond Mason,NOK,06_07,13.7,4.6,1.5,0.476,0
Charlie Bell,MIL,06_07,13.5,2.9,3.0,0.341,0
Chris Wilcox,SEA,06_07,13.5,7.7,1.0,0.378,0
Andre Miller,DENPHI,06_07,13.4,4.4,7.8,,0
Hedo Türkoğlu,ORL,06_07,13.3,4.0,3.2,0.488,0
Rafer Alston,HOU,06_07,13.3,3.4,5.4,0.634,0
Chucky Atkins,MEM,06_07,13.2,1.9,4.6,0.268,0
Marvin Williams,ATL,06_07,13.1,5.3,1.9,0.366,0
Jason Kidd,NJN,06_07,13.0,8.2,9.2,0.5,0
Josh Childress,ATL,06_07,13.0,6.2,2.3,0.366,0
J.R. Smith,DEN,06_07,13.0,2.3,1.4,0.549,0
Jameer Nelson,ORL,06_07,13.0,3.1,4.3,0.488,0
Quentin Richardson,NYK,06_07,13.0,7.2,2.2,0.402,0
Jamaal Tinsley,IND,06_07,12.8,3.3,6.9,0.427,0
Mike Dunleavy,GSWIND,06_07,12.8,5.3,2.8,,0
Hakim Warrick,MEM,06_07,12.7,5.1,0.9,0.268,0
Anthony Parker,TOR,06_07,12.4,3.9,2.1,0.573,0
Rasheed Wallace,DET,06_07,12.3,7.2,1.7,0.646,0
Mark Blount,MIN,06_07,12.3,6.2,0.8,0.39,0
Sam Cassell,LAC,06_07,12.3,2.9,4.7,0.488,0
Andrew Bogut,MIL,06_07,12.3,8.8,3.0,0.341,0
Delonte West,BOS,06_07,12.2,3.0,4.4,0.293,0
Nenê,DEN,06_07,12.2,7.0,1.2,0.549,0
Zaza Pachulia,ATL,06_07,12.2,6.9,1.5,0.366,0
Matt Carroll,CHA,06_07,12.1,2.9,1.3,0.402,0
Ryan Gomes,BOS,06_07,12.1,5.6,1.6,0.293,0
Jerry Stackhouse,DAL,06_07,12.0,2.2,2.8,0.817,0
Jarrett Jack,POR,06_07,12.0,2.6,5.3,0.39,0
Sean May,CHA,06_07,11.9,6.7,1.9,0.402,0
Zydrunas Ilgauskas,CLE,06_07,11.9,7.7,1.6,0.61,0
Charlie Villanueva,MIL,06_07,11.8,5.8,0.9,0.341,0
Adam Morrison,CHA,06_07,11.8,2.9,2.1,0.402,0
Matt Harpring,UTA,06_07,11.6,4.6,1.3,0.622,0
Andrea Bargnani,TOR,06_07,11.6,3.9,0.8,0.573,0
Devin Brown,NOK,06_07,11.6,4.3,2.6,0.476,0
Tony Allen,BOS,06_07,11.5,3.8,1.7,0.293,0
Luke Walton,LAL,06_07,11.4,5.0,4.3,0.512,0
Tyronn Lue,ATL,06_07,11.4,1.9,3.6,0.366,0
Willie Green,PHI,06_07,11.3,2.1,1.5,0.427,0
Steve Francis,NYK,06_07,11.3,3.6,3.9,0.402,0
DeShawn Stevenson,WAS,06_07,11.2,2.6,2.7,0.5,0
Marcus Camby,DEN,06_07,11.2,11.7,3.2,0.549,0
Chris Webber,DETPHI,06_07,11.2,7.2,3.1,,0
Mickaël Piétrus,GSW,06_07,11.1,4.5,0.9,0.512,0
Drew Gooden,CLE,06_07,11.1,8.5,1.1,0.61,0
Smush Parker,LAL,06_07,11.1,2.5,2.8,0.512,0
Tim Thomas,LAC,06_07,11.0,5.0,2.2,0.488,0
Luke Ridnour,SEA,06_07,11.0,2.3,5.2,0.378,0
Luther Head,HOU,06_07,10.9,3.2,2.4,0.634,0
Jason Kapono,MIA,06_07,10.9,2.7,1.2,0.537,0
Jason Williams,MIA,06_07,10.9,2.3,5.3,0.537,0
Rudy Gay,MEM,06_07,10.8,4.5,1.3,0.268,0
Samuel Dalembert,PHI,06_07,10.7,8.9,0.8,0.427,0
David Lee,NYK,06_07,10.7,10.4,1.8,0.402,0
Udonis Haslem,MIA,06_07,10.7,8.3,1.2,0.537,0
Bobby Jackson,NOK,06_07,10.6,3.2,2.5,0.476,0
Gerald Green,BOS,06_07,10.4,2.6,1.0,0.293,0
Troy Murphy,GSWIND,06_07,10.3,6.1,1.9,,0
Devin Harris,DAL,06_07,10.2,2.4,3.7,0.817,0
Randy Foye,MIN,06_07,10.1,2.7,2.8,0.39,0
Shane Battier,HOU,06_07,10.1,4.1,2.1,0.634,0
Rasual Butler,NOK,06_07,10.1,3.2,0.8,0.476,0
Mike James,MIN,06_07,10.1,2.0,3.6,0.39,0
Nate Robinson,NYK,06_07,10.1,2.4,1.4,0.402,0
Derek Fisher,UTA,06_07,10.1,1.8,3.3,0.622,0
Chris Kaman,LAC,06_07,10.1,7.8,1.1,0.488,0
Shareef Abdur-Rahim,SAC,06_07,9.9,5.0,1.4,0.402,0
Mikki Moore,NJN,06_07,9.8,5.1,0.9,0.5,0
Matt Barnes,GSW,06_07,9.8,4.6,2.1,0.512,0
Boris Diaw,PHO,06_07,9.7,4.3,4.8,0.744,0
Juwan Howard,HOU,06_07,9.7,5.9,1.6,0.634,0
Nick Collison,SEA,06_07,9.6,8.1,1.0,0.378,0
Travis Outlaw,POR,06_07,9.6,3.2,0.8,0.39,0
Juan Dixon,PORTOR,06_07,9.6,2.0,1.5,,0
Andris Biedriņš,GSW,06_07,9.5,9.3,1.1,0.512,0
Channing Frye,NYK,06_07,9.5,5.5,0.9,0.402,0
Kenyon Martin,DEN,06_07,9.5,10.0,0.5,0.549,0
Tyson Chandler,NOK,06_07,9.5,12.4,0.9,0.476,0
Earl Watson,SEA,06_07,9.4,2.4,5.7,0.378,0
Shaun Livingston,LAC,06_07,9.3,3.4,5.1,0.488,0
Walter Herrmann,CHA,06_07,9.2,2.9,0.5,0.402,0
Jannero Pargo,NOK,06_07,9.2,2.2,2.5,0.476,0
Boštjan Nachbar,NJN,06_07,9.2,3.3,0.8,0.5,0
Corliss Williamson,SAC,06_07,9.1,3.2,0.6,0.402,0
Brevin Knight,CHA,06_07,9.1,2.6,6.6,0.402,0
Michael Finley,SAS,06_07,9.0,2.7,1.3,0.707,0
Brad Miller,SAC,06_07,9.0,6.4,3.6,0.402,0
Sasha Pavlović,CLE,06_07,9.0,2.4,1.6,0.61,0
LaMarcus Aldridge,POR,06_07,9.0,5.0,0.4,0.39,0
Morris Peterson,TOR,06_07,8.9,3.3,0.7,0.573,0
Trevor Ariza,ORL,06_07,8.9,4.4,1.1,0.488,0
Damien Wilkins,SEA,06_07,8.8,2.8,1.9,0.378,0
José Calderón,TOR,06_07,8.7,1.7,5.0,0.573,0
Alonzo Mourning,MIA,06_07,8.6,4.5,0.2,0.537,0
Joe Smith,DENPHI,06_07,8.5,6.2,0.8,,0
John Salmons,SAC,06_07,8.5,3.3,3.2,0.402,0
Brent Barry,SAS,06_07,8.5,2.1,1.8,0.707,0
Jorge Garbajosa,TOR,06_07,8.5,4.9,1.9,0.573,0
Antoine Walker,MIA,06_07,8.5,4.3,1.7,0.537,0
Kwame Brown,LAL,06_07,8.4,6.0,1.8,0.512,0
Maurice Evans,LAL,06_07,8.4,2.9,1.0,0.512,0
Ime Udoka,POR,06_07,8.4,3.7,1.5,0.39,0
Eddie House,NJN,06_07,8.4,1.6,1.2,0.5,0
Andrei Kirilenko,UTA,06_07,8.3,4.7,2.9,0.622,0
James White,SAS,06_07,8.3,3.3,0.8,0.707,0
Antonio McDyess,DET,06_07,8.1,6.0,0.9,0.646,0
Darko Miličić,ORL,06_07,8.0,5.5,1.1,0.488,0
Derek Anderson,CHA,06_07,8.0,2.3,2.7,0.402,0
Keyon Dooling,ORL,06_07,7.9,1.3,1.7,0.488,0
Gordan Giriček,UTA,06_07,7.8,2.1,1.0,0.622,0
Andrew Bynum,LAL,06_07,7.8,5.9,1.1,0.512,0
Stromile Swift,MEM,06_07,7.8,4.6,0.3,0.268,0
Bonzi Wells,HOU,06_07,7.8,4.3,1.1,0.634,0
James Posey,MIA,06_07,7.7,5.0,1.3,0.537,0
Salim Stoudamire,ATL,06_07,7.7,1.2,1.0,0.366,0
Eddie Jones,MEMMIA,06_07,7.7,3.0,1.7,,0
Tarence Kinsey,MEM,06_07,7.7,2.0,0.9,0.268,0
Carlos Arroyo,ORL,06_07,7.7,1.9,2.8,0.488,0
