Team,Win%,Season
MIL,0.767,19/20
TOR,0.736,19/20
LAL,0.732,19/20
LAC,0.681,19/20
BOS,0.667,19/20
DEN,0.63,19/20
IND,0.616,19/20
UTA,0.611,19/20
HOU,0.611,19/20
OKC,0.611,19/20
MIA,0.603,19/20
PHI,0.589,19/20
DAL,0.573,19/20
BRK,0.486,19/20
POR,0.473,19/20
MEM,0.466,19/20
PHO,0.466,19/20
ORL,0.452,19/20
SAS,0.451,19/20
SAC,0.431,19/20
NOP,0.417,19/20
WAS,0.347,19/20
CHO,0.354,19/20
CHI,0.338,19/20
NYK,0.318,19/20
ATL,0.299,19/20
DET,0.303,19/20
MIN,0.297,19/20
CLE,0.292,19/20
GSW,0.231,19/20
CLE,0.744,09/10
ORL,0.72,09/10
LAL,0.695,09/10
DAL,0.671,09/10
PHO,0.659,09/10
UTA,0.646,09/10
DEN,0.646,09/10
ATL,0.646,09/10
BOS,0.61,09/10
SAS,0.61,09/10
POR,0.61,09/10
OKC,0.61,09/10
MIA,0.573,09/10
MIL,0.561,09/10
CHA,0.537,09/10
HOU,0.512,09/10
CHI,0.5,09/10
MEM,0.488,09/10
TOR,0.488,09/10
NOH,0.451,09/10
IND,0.39,09/10
LAC,0.354,09/10
NYK,0.354,09/10
PHI,0.329,09/10
DET,0.329,09/10
GSW,0.317,09/10
WAS,0.317,09/10
SAC,0.305,09/10
MIN,0.183,09/10
NJN,0.146,09/10
PHO,0.756,04/05
SAS,0.72,04/05
MIA,0.72,04/05
DAL,0.707,04/05
DET,0.659,04/05
SEA,0.634,04/05
HOU,0.622,04/05
SAC,0.61,04/05
DEN,0.598,04/05
CHI,0.573,04/05
BOS,0.549,04/05
WAS,0.549,04/05
MEM,0.549,04/05
MIN,0.537,04/05
IND,0.537,04/05
PHI,0.524,04/05
CLE,0.512,04/05
NJN,0.512,04/05
LAC,0.451,04/05
ORL,0.439,04/05
LAL,0.415,04/05
GSW,0.415,04/05
NYK,0.402,04/05
TOR,0.402,04/05
MIL,0.366,04/05
POR,0.329,04/05
UTA,0.317,04/05
NOH,0.22,04/05
CHA,0.22,04/05
ATL,0.159,04/05
GSW,0.89,15/16
SAS,0.817,15/16
CLE,0.695,15/16
TOR,0.683,15/16
OKC,0.671,15/16
LAC,0.646,15/16
ATL,0.585,15/16
CHO,0.585,15/16
BOS,0.585,15/16
MIA,0.585,15/16
IND,0.549,15/16
DET,0.537,15/16
POR,0.537,15/16
DAL,0.512,15/16
CHI,0.512,15/16
MEM,0.512,15/16
WAS,0.5,15/16
HOU,0.5,15/16
UTA,0.488,15/16
ORL,0.427,15/16
MIL,0.402,15/16
SAC,0.402,15/16
DEN,0.402,15/16
NYK,0.39,15/16
NOP,0.366,15/16
MIN,0.354,15/16
PHO,0.28,15/16
BRK,0.256,15/16
LAL,0.207,15/16
PHI,0.122,15/16
BOS,0.805,07/08
DET,0.72,07/08
LAL,0.695,07/08
SAS,0.683,07/08
NOH,0.683,07/08
HOU,0.671,07/08
PHO,0.671,07/08
UTA,0.659,07/08
ORL,0.634,07/08
DAL,0.622,07/08
DEN,0.61,07/08
GSW,0.585,07/08
CLE,0.549,07/08
WAS,0.524,07/08
POR,0.5,07/08
TOR,0.5,07/08
PHI,0.488,07/08
SAC,0.463,07/08
ATL,0.451,07/08
IND,0.439,07/08
NJN,0.415,07/08
CHI,0.402,07/08
CHA,0.39,07/08
MIL,0.317,07/08
NYK,0.28,07/08
LAC,0.28,07/08
MIN,0.268,07/08
MEM,0.268,07/08
SEA,0.244,07/08
MIA,0.183,07/08
DET,0.78,05/06
SAS,0.768,05/06
DAL,0.732,05/06
PHO,0.659,05/06
MIA,0.634,05/06
CLE,0.61,05/06
NJN,0.598,05/06
MEM,0.598,05/06
LAC,0.573,05/06
LAL,0.549,05/06
DEN,0.537,05/06
SAC,0.537,05/06
WAS,0.512,05/06
IND,0.5,05/06
CHI,0.5,05/06
UTA,0.5,05/06
MIL,0.488,05/06
NOK,0.463,05/06
PHI,0.463,05/06
ORL,0.439,05/06
SEA,0.427,05/06
HOU,0.415,05/06
GSW,0.415,05/06
MIN,0.402,05/06
BOS,0.402,05/06
TOR,0.329,05/06
ATL,0.317,05/06
CHA,0.317,05/06
NYK,0.28,05/06
POR,0.256,05/06
DAL,0.817,06/07
PHO,0.744,06/07
SAS,0.707,06/07
DET,0.646,06/07
HOU,0.634,06/07
UTA,0.622,06/07
CLE,0.61,06/07
CHI,0.598,06/07
TOR,0.573,06/07
DEN,0.549,06/07
MIA,0.537,06/07
LAL,0.512,06/07
GSW,0.512,06/07
WAS,0.5,06/07
NJN,0.5,06/07
ORL,0.488,06/07
LAC,0.488,06/07
NOK,0.476,06/07
PHI,0.427,06/07
IND,0.427,06/07
NYK,0.402,06/07
SAC,0.402,06/07
CHA,0.402,06/07
MIN,0.39,06/07
POR,0.39,06/07
SEA,0.378,06/07
ATL,0.366,06/07
MIL,0.341,06/07
BOS,0.293,06/07
MEM,0.268,06/07
BOS,0.78,23/24
OKC,0.695,23/24
DEN,0.695,23/24
MIN,0.683,23/24
LAC,0.622,23/24
NYK,0.61,23/24
DAL,0.61,23/24
MIL,0.598,23/24
PHO,0.598,23/24
NOP,0.598,23/24
CLE,0.585,23/24
LAL,0.573,23/24
PHI,0.573,23/24
ORL,0.573,23/24
IND,0.573,23/24
SAC,0.561,23/24
MIA,0.561,23/24
GSW,0.561,23/24
HOU,0.5,23/24
CHI,0.476,23/24
ATL,0.439,23/24
BRK,0.39,23/24
UTA,0.378,23/24
MEM,0.329,23/24
TOR,0.305,23/24
SAS,0.268,23/24
CHO,0.256,23/24
POR,0.256,23/24
WAS,0.183,23/24
DET,0.171,23/24
HOU,0.793,17/18
TOR,0.72,17/18
GSW,0.707,17/18
BOS,0.671,17/18
PHI,0.634,17/18
CLE,0.61,17/18
POR,0.598,17/18
UTA,0.585,17/18
IND,0.585,17/18
OKC,0.585,17/18
NOP,0.585,17/18
SAS,0.573,17/18
MIN,0.573,17/18
DEN,0.561,17/18
MIL,0.537,17/18
MIA,0.537,17/18
WAS,0.524,17/18
LAC,0.512,17/18
DET,0.476,17/18
CHO,0.439,17/18
LAL,0.427,17/18
NYK,0.354,17/18
BRK,0.341,17/18
SAC,0.329,17/18
CHI,0.329,17/18
ORL,0.305,17/18
ATL,0.293,17/18
DAL,0.293,17/18
MEM,0.268,17/18
PHO,0.256,17/18
SAS,0.756,13/14
OKC,0.72,13/14
LAC,0.695,13/14
IND,0.683,13/14
POR,0.659,13/14
MIA,0.659,13/14
HOU,0.659,13/14
GSW,0.622,13/14
MEM,0.61,13/14
DAL,0.598,13/14
PHO,0.585,13/14
TOR,0.585,13/14
CHI,0.585,13/14
WAS,0.537,13/14
BRK,0.537,13/14
CHA,0.524,13/14
MIN,0.488,13/14
ATL,0.463,13/14
NYK,0.451,13/14
DEN,0.439,13/14
NOP,0.415,13/14
CLE,0.402,13/14
DET,0.354,13/14
SAC,0.341,13/14
LAL,0.329,13/14
UTA,0.305,13/14
BOS,0.305,13/14
ORL,0.28,13/14
PHI,0.232,13/14
MIL,0.183,13/14
MIA,0.805,12/13
OKC,0.732,12/13
SAS,0.707,12/13
DEN,0.695,12/13
MEM,0.683,12/13
LAC,0.683,12/13
NYK,0.659,12/13
BRK,0.598,12/13
IND,0.605,12/13
GSW,0.573,12/13
HOU,0.549,12/13
LAL,0.549,12/13
CHI,0.549,12/13
ATL,0.537,12/13
UTA,0.524,12/13
DAL,0.5,12/13
BOS,0.506,12/13
MIL,0.463,12/13
PHI,0.415,12/13
TOR,0.415,12/13
POR,0.402,12/13
MIN,0.378,12/13
DET,0.354,12/13
WAS,0.354,12/13
SAC,0.341,12/13
NOH,0.329,12/13
PHO,0.305,12/13
CLE,0.293,12/13
CHA,0.256,12/13
ORL,0.244,12/13
PHO,0.78,21/22
MEM,0.683,21/22
MIA,0.646,21/22
GSW,0.646,21/22
DAL,0.634,21/22
BOS,0.622,21/22
PHI,0.622,21/22
MIL,0.622,21/22
UTA,0.598,21/22
TOR,0.585,21/22
DEN,0.585,21/22
CHI,0.561,21/22
MIN,0.561,21/22
CLE,0.537,21/22
BRK,0.537,21/22
ATL,0.524,21/22
CHO,0.524,21/22
LAC,0.512,21/22
NYK,0.451,21/22
NOP,0.439,21/22
WAS,0.427,21/22
SAS,0.415,21/22
LAL,0.402,21/22
SAC,0.366,21/22
POR,0.329,21/22
IND,0.305,21/22
OKC,0.293,21/22
DET,0.28,21/22
ORL,0.268,21/22
HOU,0.244,21/22
GSW,0.817,14/15
ATL,0.732,14/15
HOU,0.683,14/15
LAC,0.683,14/15
SAS,0.671,14/15
MEM,0.671,14/15
CLE,0.646,14/15
POR,0.622,14/15
CHI,0.61,14/15
DAL,0.61,14/15
TOR,0.598,14/15
WAS,0.561,14/15
OKC,0.549,14/15
NOP,0.549,14/15
MIL,0.5,14/15
BOS,0.488,14/15
PHO,0.476,14/15
BRK,0.463,14/15
IND,0.463,14/15
UTA,0.463,14/15
MIA,0.451,14/15
CHO,0.402,14/15
DET,0.39,14/15
DEN,0.366,14/15
SAC,0.354,14/15
ORL,0.305,14/15
LAL,0.256,14/15
PHI,0.22,14/15
NYK,0.207,14/15
MIN,0.195,14/15
UTA,0.722,20/21
PHO,0.708,20/21
PHI,0.681,20/21
BRK,0.667,20/21
DEN,0.653,20/21
LAC,0.653,20/21
MIL,0.639,20/21
POR,0.583,20/21
DAL,0.583,20/21
LAL,0.583,20/21
ATL,0.569,20/21
NYK,0.569,20/21
MIA,0.556,20/21
GSW,0.542,20/21
MEM,0.528,20/21
BOS,0.5,20/21
IND,0.472,20/21
WAS,0.472,20/21
SAS,0.458,20/21
CHO,0.458,20/21
NOP,0.431,20/21
CHI,0.431,20/21
SAC,0.431,20/21
TOR,0.375,20/21
MIN,0.319,20/21
OKC,0.306,20/21
CLE,0.306,20/21
ORL,0.292,20/21
DET,0.278,20/21
HOU,0.236,20/21
CHI,0.758,11/12
SAS,0.758,11/12
OKC,0.712,11/12
MIA,0.697,11/12
IND,0.636,11/12
MEM,0.621,11/12
LAL,0.621,11/12
ATL,0.606,11/12
LAC,0.606,11/12
BOS,0.591,11/12
DEN,0.576,11/12
ORL,0.561,11/12
NYK,0.545,11/12
DAL,0.545,11/12
UTA,0.545,11/12
PHI,0.53,11/12
HOU,0.515,11/12
PHO,0.5,11/12
MIL,0.47,11/12
POR,0.424,11/12
MIN,0.394,11/12
DET,0.379,11/12
GSW,0.348,11/12
TOR,0.348,11/12
NJN,0.333,11/12
SAC,0.333,11/12
NOH,0.318,11/12
CLE,0.318,11/12
WAS,0.303,11/12
CHA,0.106,11/12
GSW,0.817,16/17
SAS,0.744,16/17
HOU,0.671,16/17
BOS,0.646,16/17
UTA,0.622,16/17
TOR,0.622,16/17
CLE,0.622,16/17
LAC,0.622,16/17
WAS,0.598,16/17
OKC,0.573,16/17
ATL,0.524,16/17
MEM,0.524,16/17
IND,0.512,16/17
MIL,0.512,16/17
MIA,0.5,16/17
POR,0.5,16/17
CHI,0.5,16/17
DEN,0.488,16/17
DET,0.451,16/17
CHO,0.439,16/17
NOP,0.415,16/17
DAL,0.402,16/17
SAC,0.39,16/17
MIN,0.378,16/17
NYK,0.378,16/17
ORL,0.354,16/17
PHI,0.341,16/17
LAL,0.317,16/17
PHO,0.293,16/17
BRK,0.244,16/17
WAS,0.427,22/23
UTA,0.451,22/23
TOR,0.5,22/23
SAS,0.268,22/23
SAC,0.585,22/23
POR,0.402,22/23
PHO,0.549,22/23
PHI,0.659,22/23
ORL,0.415,22/23
OKC,0.488,22/23
NYK,0.573,22/23
NOP,0.512,22/23
MIN,0.512,22/23
MIL,0.707,22/23
MIA,0.537,22/23
MEM,0.622,22/23
LAL,0.524,22/23
LAC,0.537,22/23
IND,0.427,22/23
HOU,0.268,22/23
GSW,0.537,22/23
DET,0.207,22/23
DEN,0.646,22/23
DAL,0.463,22/23
CLE,0.622,22/23
CHO,0.329,22/23
CHI,0.488,22/23
BRK,0.549,22/23
BOS,0.695,22/23
ATL,0.5,22/23
CLE,0.805,08/09
LAL,0.793,08/09
BOS,0.756,08/09
ORL,0.72,08/09
DEN,0.659,08/09
SAS,0.659,08/09
POR,0.659,08/09
HOU,0.646,08/09
DAL,0.61,08/09
NOH,0.598,08/09
UTA,0.585,08/09
ATL,0.573,08/09
PHO,0.561,08/09
MIA,0.524,08/09
CHI,0.5,08/09
PHI,0.5,08/09
DET,0.476,08/09
IND,0.439,08/09
CHA,0.427,08/09
MIL,0.415,08/09
NJN,0.415,08/09
TOR,0.402,08/09
NYK,0.39,08/09
GSW,0.354,08/09
MIN,0.293,08/09
MEM,0.293,08/09
OKC,0.28,08/09
LAC,0.232,08/09
WAS,0.232,08/09
SAC,0.207,08/09
CHI,0.756,10/11
SAS,0.744,10/11
MIA,0.707,10/11
DAL,0.695,10/11
LAL,0.695,10/11
BOS,0.683,10/11
OKC,0.671,10/11
ORL,0.634,10/11
DEN,0.61,10/11
POR,0.585,10/11
MEM,0.561,10/11
NOH,0.561,10/11
ATL,0.537,10/11
HOU,0.524,10/11
NYK,0.512,10/11
PHI,0.5,10/11
PHO,0.488,10/11
UTA,0.476,10/11
IND,0.451,10/11
GSW,0.439,10/11
MIL,0.427,10/11
CHA,0.415,10/11
LAC,0.39,10/11
DET,0.366,10/11
NJN,0.293,10/11
SAC,0.293,10/11
WAS,0.28,10/11
TOR,0.268,10/11
CLE,0.232,10/11
MIN,0.207,10/11
MIL,0.732,18/19
TOR,0.707,18/19
GSW,0.695,18/19
DEN,0.659,18/19
POR,0.646,18/19
HOU,0.646,18/19
PHI,0.622,18/19
UTA,0.61,18/19
BOS,0.598,18/19
OKC,0.598,18/19
LAC,0.585,18/19
SAS,0.585,18/19
IND,0.585,18/19
BRK,0.512,18/19
ORL,0.512,18/19
DET,0.5,18/19
CHO,0.476,18/19
MIA,0.476,18/19
SAC,0.476,18/19
LAL,0.451,18/19
MIN,0.439,18/19
DAL,0.402,18/19
NOP,0.402,18/19
MEM,0.402,18/19
WAS,0.39,18/19
ATL,0.354,18/19
CHI,0.268,18/19
CLE,0.232,18/19
PHO,0.232,18/19
NYK,0.207,18/19
